ratio_id,category,sub_category,ratio_name_ko,ratio_name_en,formula_text,numerator_term_orig,numerator_item_code,numerator_item_name,numerator_statement_source,numerator_lag,numerator_is_average,numerator_is_growth,numerator_status,numerator_derived_formula,numerator_derived_components,denominator_term_orig,denominator_item_code,denominator_item_name,denominator_statement_source,denominator_lag,denominator_is_average,denominator_is_growth,denominator_status,denominator_derived_formula,denominator_derived_components,requires_lag,requires_average_denominator,requires_growth_base,unit_output,expected_good_direction,denominator_zero_policy,negative_denominator_policy,priority,availability_status,notes,duplicate_alias_of,duplicate_alias_type,duplicate_alias_reason,duplicate_alias_source,duplicate_alias_policy_note,stage3_exclude,formula_item_code_fingerprint,is_canonical_ratio,canonical_ratio_id
R001,수익성,수익률/마진,매출총이익률,,매출총이익 / 매출액,매출총이익,U01B201014400,매출총이익(손실)(IFRS)(천원)   매출총이익(손실)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,매출액,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,%,높을수록 우량,NaN,compute_with_flag,확장,available_direct,,,,,,,False,U01B201014400|U01B100000000,True,R001
R002,수익성,수익률/마진,영업이익률,,영업이익 / 매출액,영업이익,U01B430000000,* (정상)영업손익(계산수치)(IFRS)(천원)   * (정상)영업손익(계산수치)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,매출액,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,%,높을수록 우량,NaN,compute_with_flag,핵심,available_direct,,,,,,,False,U01B430000000|U01B100000000,True,R002
R003,수익성,수익률/마진,정상영업이익률,,정상영업이익 / 매출액,정상영업이익,U01B430000000,* (정상)영업손익(계산수치)(IFRS)(천원)   * (정상)영업손익(계산수치)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,매출액,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,%,높을수록 우량,NaN,compute_with_flag,확장,available_direct,,R002,exact_value_alias,정상영업이익률 maps to the same executable formula as 영업이익률 in the current source mapping.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.,True,U01B430000000|U01B100000000,False,R002
R004,수익성,수익률/마진,EBIT마진,,EBIT / 매출액,EBIT,U01B430000000,EBIT,DERIVED,0,False,False,derivable,영업이익,영업이익,매출액,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,%,높을수록 우량,NaN,compute_with_flag,확장,available_derived,,R002,exact_value_alias,EBIT마진 maps to the same executable formula as 영업이익률 in the current source mapping.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.,True,U01B430000000|U01B100000000|영업이익,False,R002
R005,수익성,수익률/마진,EBITDA마진,,EBITDA / 매출액,EBITDA,U01B430000000+U01B350014100+U01B350014300,EBITDA,DERIVED,0,False,False,derivable,영업이익 + 감가상각비 + 무형자산상각비,영업이익|감가상각비|무형자산상각비,매출액,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,%,높을수록 우량,NaN,compute_with_flag,핵심,available_derived,,,,,,,False,U01B430000000+U01B350014100+U01B350014300|U01B100000000|영업이익|감가상각비|무형자산상각비,True,R005
R006,수익성,수익률/마진,세전이익률,,법인세차감전순이익 / 매출액,법인세차감전순이익,U01B700000000,법인세비용차감전순이익(손실)(IFRS)(천원)   법인세비용차감전순이익(손실)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,매출액,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,%,높을수록 우량,NaN,compute_with_flag,확장,available_direct,,,,,,,False,U01B700000000|U01B100000000,True,R006
R007,수익성,수익률/마진,순이익률,,당기순이익 / 매출액,당기순이익,U01B840000000,당기순이익(손실)(IFRS)(천원)   당기순이익(손실)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,매출액,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,%,높을수록 우량,NaN,compute_with_flag,확장,available_direct,,,,,,,False,U01B840000000|U01B100000000,True,R007
R008,수익성,수익률/마진,계속사업이익률,,계속사업이익 / 매출액,계속사업이익,U01B800000000,계속영업이익(손실)(IFRS)(천원)   계속영업이익(손실)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,매출액,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,%,높을수록 우량,NaN,compute_with_flag,확장,available_direct,,,,,,,False,U01B800000000|U01B100000000,True,R008
R009,수익성,수익률/마진,총포괄이익률,,총포괄이익 / 매출액,총포괄이익,U01B900000000,총포괄손익(IFRS)(천원)   총포괄손익(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,매출액,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,%,높을수록 우량,NaN,compute_with_flag,확장,available_direct,,,,,,,False,U01B900000000|U01B100000000,True,R009
R010,수익성,수익률/마진,영업현금흐름마진,,영업활동현금흐름 / 매출액,영업활동현금흐름,U01D100000000,영업활동으로 인한 현금흐름(간접법)(IFRS)(천원)   영업활동으로 인한 현금흐름(간접법)(IFRS)(천원)(IFRS)(천원),현금흐름표,0,False,False,mapped,,,매출액,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,%,높을수록 우량,NaN,compute_with_flag,핵심,available_direct,,,,,,,False,U01D100000000|U01B100000000,True,R010
