ratio_id,canonical_ratio_id,is_canonical_ratio,stage3_exclude,duplicate_alias_of,duplicate_alias_type,duplicate_alias_reason,duplicate_alias_source,duplicate_alias_policy_note,category,ratio_name_ko,numerator_term_orig,numerator_item_code,numerator_item_name,numerator_statement_source,numerator_lag,numerator_is_average,numerator_is_growth,numerator_status,numerator_derived_formula,numerator_derived_components,denominator_term_orig,denominator_item_code,denominator_item_name,denominator_statement_source,denominator_lag,denominator_is_average,denominator_is_growth,denominator_status,denominator_derived_formula,denominator_derived_components,requires_lag,requires_average_denominator,requires_growth_base,unit_output,expected_good_direction,denominator_zero_policy,negative_denominator_policy,priority,availability_status,formula_item_code_fingerprint,notes
R001,R001,True,False,,,,,,수익성,매출총이익률,매출총이익,U01B201014400,매출총이익(손실)(IFRS)(천원)   매출총이익(손실)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,매출액,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,%,높을수록 우량,NaN,compute_with_flag,확장,available_direct,U01B201014400|U01B100000000,
R002,R002,True,False,,,,,,수익성,영업이익률,영업이익,U01B430000000,* (정상)영업손익(계산수치)(IFRS)(천원)   * (정상)영업손익(계산수치)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,매출액,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,%,높을수록 우량,NaN,compute_with_flag,핵심,available_direct,U01B430000000|U01B100000000,
R003,R002,False,True,R002,exact_value_alias,정상영업이익률 maps to the same executable formula as 영업이익률 in the current source mapping.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.,수익성,정상영업이익률,정상영업이익,U01B430000000,* (정상)영업손익(계산수치)(IFRS)(천원)   * (정상)영업손익(계산수치)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,매출액,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,%,높을수록 우량,NaN,compute_with_flag,확장,available_direct,U01B430000000|U01B100000000,
R004,R002,False,True,R002,exact_value_alias,EBIT마진 maps to the same executable formula as 영업이익률 in the current source mapping.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.,수익성,EBIT마진,EBIT,U01B430000000,EBIT,DERIVED,0,False,False,derivable,영업이익,영업이익,매출액,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,%,높을수록 우량,NaN,compute_with_flag,확장,available_derived,U01B430000000|U01B100000000|영업이익,
R005,R005,True,False,,,,,,수익성,EBITDA마진,EBITDA,U01B430000000+U01B350014100+U01B350014300,EBITDA,DERIVED,0,False,False,derivable,영업이익 + 감가상각비 + 무형자산상각비,영업이익|감가상각비|무형자산상각비,매출액,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,%,높을수록 우량,NaN,compute_with_flag,핵심,available_derived,U01B430000000+U01B350014100+U01B350014300|U01B100000000|영업이익|감가상각비|무형자산상각비,
R006,R006,True,False,,,,,,수익성,세전이익률,법인세차감전순이익,U01B700000000,법인세비용차감전순이익(손실)(IFRS)(천원)   법인세비용차감전순이익(손실)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,매출액,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,%,높을수록 우량,NaN,compute_with_flag,확장,available_direct,U01B700000000|U01B100000000,
R007,R007,True,False,,,,,,수익성,순이익률,당기순이익,U01B840000000,당기순이익(손실)(IFRS)(천원)   당기순이익(손실)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,매출액,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,%,높을수록 우량,NaN,compute_with_flag,확장,available_direct,U01B840000000|U01B100000000,
R008,R008,True,False,,,,,,수익성,계속사업이익률,계속사업이익,U01B800000000,계속영업이익(손실)(IFRS)(천원)   계속영업이익(손실)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,매출액,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,%,높을수록 우량,NaN,compute_with_flag,확장,available_direct,U01B800000000|U01B100000000,
R009,R009,True,False,,,,,,수익성,총포괄이익률,총포괄이익,U01B900000000,총포괄손익(IFRS)(천원)   총포괄손익(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,매출액,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,%,높을수록 우량,NaN,compute_with_flag,확장,available_direct,U01B900000000|U01B100000000,
R010,R010,True,False,,,,,,수익성,영업현금흐름마진,영업활동현금흐름,U01D100000000,영업활동으로 인한 현금흐름(간접법)(IFRS)(천원)   영업활동으로 인한 현금흐름(간접법)(IFRS)(천원)(IFRS)(천원),현금흐름표,0,False,False,mapped,,,매출액,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,%,높을수록 우량,NaN,compute_with_flag,핵심,available_direct,U01D100000000|U01B100000000,
